path,file,column,min_1,min_diff_1,min_2,min_diff_1,min_3,max_1,max_diff_1,max_2,max_diff_1,max_3,avg,null
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,Group_Ship,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,SST_C,-999,1002.55843,3.55843,0.01607,3.5745,23.5278,0.0004,23.5274,0.0018,23.5256,-40.1047,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,LONG_dec_degree,-76.0217,0.0006,-76.0211,0.0007,-76.0204,-65.7134,0.0009,-65.7143,0.0009,-65.7152,-70.801,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,EXPOCODE,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,dfCO2_uatm,-999,774.49,-224.51,2.46,-222.05,86.48,0.1,86.38,1.72,84.66,-111.5,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,DATE_UTC__ddmmyyyy,1042013,10000,1052013,990000,2042013,31032013,990000,30042013,10000,30032013,16109565,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,TIME_UTC_hh:mm:ss,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,JD_GMT,73.83547,0.00097,73.83644,0.00096,73.8374,129.40266,0.00169,129.40097,,,100.12013,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,WOCE_QC_FLAG,2,1,3,,,3,1,2,,,2,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,SAL_permil,-999,1026.5748,27.5748,0.2023,27.7771,36.4173,0.0003,36.417,0.0002,36.4168,-15.8139,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,xCO2_ATM_interpolated_ppm,-999,1397.14,398.14,0.01,398.15,417.49,0.14,417.35,0.13,417.22,338.65,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,LAT_dec_degree,34.5032,0.0002,34.5034,0.0015,34.5049,44.4519,0.0001,44.4518,0.0051,44.4467,40.54,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,TEMP_EQU_C,-999,1002.97,3.97,0.01,3.98,23.74,0.01,23.73,0.01,23.72,-39.73,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,xCO2_ATM_ppm,-999,1397.055,398.055,0.02,398.075,436.305,0.609,435.696,3.121,432.575,-932.557,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,Cruise ID,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,QC_SUBFLAG,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,fCO2_SW@SST_uatm,-999,1319.1,320.1,2.61,322.71,581.05,2.12,578.93,2.49,576.44,317.37,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,fCO2_ATM_interpolated_uatm,-999,1367.15,368.15,0.01,368.16,399.58,0.56,399.02,0.37,398.65,298.06,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,PRES_ATM@SSP_hPa,-999,2004.1,1005.1,0.1,1005.2,1025.6,0.1,1025.5,0.1,1025.4,895,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,PRES_EQU_hPa,-999,2002.8,1003.8,1.2,1005,1027.5,0.2,1027.3,0.2,1027.1,895.7,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,xCO2_EQU_ppm,-999,1328.601,329.601,1.664,331.265,594.125,4.108,590.017,1.749,588.268,331.13,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,Group_Ship,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,SST_C,-999,1011.5917,12.5917,0.0018,12.5935,29.1214,0.0002,29.1212,0.0148,29.1064,-38.5129,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,LONG_dec_degree,-74.823,0.004,-74.819,0.001,-74.818,-64.794,0.004,-64.798,0.003,-64.801,-70.339,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,EXPOCODE,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,dfCO2_uatm,-999,928.78,-70.22,2.64,-67.58,187.59,2.04,185.55,3.14,182.41,-40.96,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,DATE_UTC__ddmmyyyy,1072013,10000,1082013,990000,2072013,31072013,1000000,30072013,11990000,18082013,10276166,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,TIME_UTC_hh:mm:ss,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,JD_GMT,182.66404,0.00095,182.66499,0.00097,182.66596,230.95103,0.00169,230.94934,,,209.32835,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,WOCE_QC_FLAG,2,1,3,,,3,1,2,,,2,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,SAL_permil,-999,1029.2094,30.2094,0.0037,30.2131,36.1196,0.0002,36.1194,0.0021,36.1173,-29.2118,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,xCO2_ATM_interpolated_ppm,-999,1379.11,380.11,0.31,380.42,410.38,0.03,410.35,0.03,410.32,308.3,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,LAT_dec_degree,36.58,0.001,36.581,0.003,36.584,42.19,0.001,42.189,0.003,42.186,39.65,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,TEMP_EQU_C,-999,1011.89,12.89,0.01,12.9,29.25,0.02,29.23,0.06,29.17,-38.33,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,xCO2_ATM_ppm,-999,1377.79,378.79,0.411,379.201,478.532,9.269,469.263,21.301,447.962,-915.033,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,Cruise ID,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1303.csv,QC_SUBFLAG,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,pCO2_sw,360.7890309,0.0240605,360.8130914,0.2226974,361.0357888,184737.9511,23.7227,184714.2284,26.8175,184687.4109,13110.00299,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,Lon,-8.942858,0.003293,-8.939565,0.006159,-8.933406,-1.896054,0.002507,-1.898561,0.003482,-1.902043,-5.099916,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,T_equ,6.650769826,0.040937751,6.691707577,0.061124126,6.752831703,15.33096888,0.00769991,15.32326897,0.00240762,15.32086135,9.335794015,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,DOY,47.81258102,0.00269676,47.81527778,0.00219907,47.81747685,72.37986111,0.00270833,72.37715278,,,60.09634238,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,P_equilib,993.7188,0.1279,993.8467,0.1279,993.9746,1033.584,0.056,1033.528,0.029,1033.499,1014.9617,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,Date/Time,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,P_atm,990.64209,0.088074,990.730164,0.073913,990.804077,1030.143921,0.042603,1030.101318,0.073974,1030.027344,1011.901012,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,QC Comments,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,_pCO2,-46.16874247,0.05161365,-46.11712882,0.46419066,-45.65293816,184327.3532,23.7159,184303.6373,26.8343,184276.803,12707.92806,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,pCO2_sw,360.7890309,0.0240605,360.8130914,0.2226974,361.0357888,184737.9511,23.7227,184714.2284,26.8175,184687.4109,13110.00299,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,Lon,-8.942858,0.003293,-8.939565,0.006159,-8.933406,-1.896054,0.002507,-1.898561,0.003482,-1.902043,-5.099916,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,T_equ,6.650769826,0.040937751,6.691707577,0.061124126,6.752831703,15.33096888,0.00769991,15.32326897,0.00240762,15.32086135,9.335794015,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,DOY,47.81258102,0.00269676,47.81527778,0.00219907,47.81747685,72.37986111,0.00270833,72.37715278,,,60.09634238,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,P_equilib,993.7188,0.1279,993.8467,0.1279,993.9746,1033.584,0.056,1033.528,0.029,1033.499,1014.9617,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,Date/Time,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,P_atm,990.64209,0.088074,990.730164,0.073913,990.804077,1030.143921,0.042603,1030.101318,0.073974,1030.027344,1011.901012,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,QC Comments,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,_pCO2,-46.16874247,0.05161365,-46.11712882,0.46419066,-45.65293816,184327.3532,23.7159,184303.6373,26.8343,184276.803,12707.92806,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,EXPOCODE,,,,,,inf,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,WOCE QC flag,2,1,3,1,4,4,1,3,1,2,2.4,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,xCO2_equ,371.1806685,0.0712325,371.251901,0.0925167,371.3444177,534.6019389,14.2648473,520.3370916,1.6764277,518.6606639,399.7290955,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,Lat,48.610954,0.001559,48.612513,0.002248,48.614761,52.121262,0.003536,52.117726,0.002063,52.115663,50.022196,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,xCO2_atm,399.6165696,0.2888498,399.9054194,0.0736426,399.979062,426.5154464,1.0942942,425.4211522,0.4681578,424.9529944,407.2639605,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,S_sea,-0.098235974,0.005683,-0.092552974,0.001167,-0.091385974,35.50378103,3.40E-05,35.50374703,0.000233,35.50351403,31.15651888,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,T_sea,6.647430854,0.00136641,6.648797264,0.103010166,6.75180743,149.5123,138.5740136,10.93828641,0.01184985,10.92643656,20.03099622,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,fCO2_sw,359.4182642,0.0235597,359.4418239,0.2228813,359.6647052,184875.2507,23.76,184851.4907,26.8697,184824.621,13116.90454,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,Sub-flag,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,xH2O_equ,0.068715,0.001358,0.070073,0.007812,0.077885,3.774026,0.024908,3.749118,0.001392,3.747726,1.616307,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,pCO2_atm,388.2265975,0.0030434,388.2296409,0.0146267,388.2442676,427.3567318,0.000888,427.3558438,0.0036235,427.3522203,402.074932,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,fCO2_atm,386.746681,0.002913,386.749594,0.0147892,386.7643832,425.6957296,0.000534,425.6951956,0.0036872,425.6915084,400.6548967,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0213/,CEND_02_13.csv,_fCO2,-45.98936881,0.05122472,-45.93814409,0.46267669,-45.4754674,184464.3913,23.7528,184440.6385,26.8873,184413.7512,12716.24964,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,pCO2_sw,308.696,3.9715579,312.6675579,2.7788235,315.4463814,205141.1973,121.1581,205020.0392,104.3709,204915.6683,3316.9551,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,Lon,-6.707984,0.000881,-6.707103,0.00047,-6.706633,1.822754,0.00066,1.822094,0.000397,1.821697,-4.202502,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,T_equ,5.127893917,0.028204743,5.15609866,0.01027686,5.16637552,11.64499025,0.0025602,11.64243005,0.0128115,11.62961855,10.24283299,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,DOY,49.0494213,0.00267361,49.05209491,0.00212963,49.05422454,60.5278125,0.00274306,60.52506944,,,54.8244822,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,P_equilib,1010.893,0.072,1010.965,0.796,1011.761,1031.338,0.284,1031.054,0.043,1031.011,1025.543,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,Sub-flag,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,Date/Time,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,P_atm,1006.93811,0.3526,1007.29071,0.77063,1008.06134,1030.945679,0.005493,1030.940186,0.16211,1030.778076,1025.010232,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,QC Comments,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,EXPOCODE,,,,,,inf,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,WOCE QC flag,2,1,3,1,4,4,1,3,1,2,2.6,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,xCO2_equ,315.8484227,3.7623869,319.6108096,1.9728816,321.5836912,464.2986748,1.9060895,462.3925853,1.6063806,460.7862047,391.9280072,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,Lat,49.218461,8.40E-05,49.218545,0.001528,49.220073,52.474289,0.005136,52.469153,0.13705,52.332103,50.158263,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,S_sea,0.091247608,0.0032,0.094447608,0.045634,0.140081608,35.62683161,0.000317,35.62651461,0.000117,35.62639761,35.0366131,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,del_fCO2,-87.93445952,3.96867615,-83.96578337,3.25747551,-80.70830786,204896.3055,136.4648,204759.8407,89.4574,204670.3833,2922.44337,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,T_sea,5.226737174,0.028632495,5.255369669,0.021526023,5.276895692,149.6955,103.5220657,46.17343435,34.9403789,11.23305545,12.05000269,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,fCO2_sw,307.4604466,3.9567859,311.4172325,2.762678,314.1799105,205313.5746,120.9531,205192.6215,104.9937,205087.6278,3317.816117,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,xCO2_atm,394.0144843,0.017727,394.0322113,0.0533667,394.085578,432.1751641,2.911548,429.2636161,7.5640432,421.6995729,397.1459691,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,xH2O_equ,0.291159,0.001146,0.292305,0.003618,0.295923,3.057572,0.15219,2.905382,0.014186,2.891196,0.928881,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,pCO2_atm,387.912829,0.0016192,387.9144482,0.002389,387.9168372,432.4509772,0.002561,432.4484162,0.0075027,432.4409135,396.8910854,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,del_pCO2,-88.28796496,3.98493509,-84.30302987,3.26925968,-81.03377019,204724.2358,136.6375,204587.5983,88.8685,204498.7298,2920.063983,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND03b12/,CEND_03b_12.csv,fCO2_atm,386.4217276,0.0014345,386.4231621,0.0024688,386.4256309,432.7915625,0.0027471,432.7888154,0.0080169,432.7807985,395.3727474,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,pCO2_sw,311.5222241,2.4442248,313.9664489,0.0413404,314.0077893,413.1911613,0.5240659,412.6670954,0.1803124,412.486783,372.5572398,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,Lon,-1.445415,7.30E-05,-1.445342,0.000911,-1.444431,0.339179,0.001718,0.337461,0.009479,0.327982,-1.017986,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,T_equ,6.63270019,0.012817959,6.645518149,0.007644318,6.653162467,8.276591701,0.161032909,8.115558792,0.07675523,8.038803562,7.352520286,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,DOY,70.27305556,0.00265046,70.27570602,0.00219907,70.27790509,74.59594907,0.00216435,74.59378472,,,72.43262053,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,P_equilib,1026.86,0.199,1027.059,0.327,1027.386,1032.632,0.014,1032.618,0.071,1032.547,1031.144,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,Date/Time,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,P_atm,1026.2854,0.525879,1026.811279,0.548828,1027.360107,1035.938843,3.383667,1032.555176,0.005738,1032.549438,1031.006637,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,QC Comments,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,_pCO2,-92.36229098,2.43409544,-89.92819554,0.02298768,-89.90520786,4.56509362,0.525426105,4.039667515,0.372392881,3.667274634,-30.82819026,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,EXPOCODE,,,,,,inf,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,WOCE QC flag,2,2,4,,,4,2,2,,,2.3,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,xCO2_equ,315.8006338,0.9594326,316.7600664,0.2638337,317.0239001,418.7431359,0.2554187,418.4877172,0.3500431,418.1376741,377.5615336,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,Lat,53.684768,0.002398,53.687166,0.0005,53.687666,55.829684,0.002124,55.82756,0.001184,55.826376,55.387682,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,xCO2_atm,392.8253573,0.2156057,393.040963,0.2930786,393.3340416,420.638744,1.1221657,419.5165783,2.0995799,417.4169984,400.416805,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,S_sea,0.228364608,0.002183,0.230547608,0.086484,0.317031608,34.90724761,0.000283,34.90696461,0.001817,34.90514761,34.25673929,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,T_sea,6.12835484,0.001116874,6.129471714,0.000152709,6.129624423,7.739945988,0.057400731,7.682545257,0.053117884,7.629427373,6.863619844,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,fCO2_sw,310.2548618,2.433858,312.6887198,0.0418186,312.7305384,411.5005885,0.5223779,410.9782106,0.1778986,410.800312,371.037119,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,Sub-flag,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,xH2O_equ,0.239471,0.002683,0.242154,0.002968,0.245122,3.231954,0.006842,3.225112,0.459238,2.765874,0.855117,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,pCO2_atm,395.6362775,0.0148138,395.6510913,0.0027597,395.653851,423.2371805,0.0050515,423.232129,0.0014486,423.2306804,403.3854301,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,fCO2_atm,394.0238464,0.0157622,394.0396086,0.0012823,394.0408909,421.5023122,0.0049424,421.4973698,0.0014495,421.4959203,401.7395325,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0412/,CEND_04_12.csv,_fCO2,-91.98639066,2.42431013,-89.56208053,0.02271194,-89.53936859,4.546393645,0.523280337,4.023113308,0.37086477,3.652248538,-30.70241353,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0512/,CEND_05_12.csv,pCO2_sw,256.2445433,0.0706705,256.3152138,0.9738836,257.2890974,435.7144094,2.5294156,433.1849938,0.2700532,432.9149406,358.7612108,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0512/,CEND_05_12.csv,Lon,-6.971094,0.00054,-6.970554,0.000441,-6.970113,0.304863,0.019055,0.285808,0.014391,0.271417,-3.941294,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0512/,CEND_05_12.csv,T_equ,8.281770898,0.02302342,8.304794318,0.030609072,8.33540339,14.90282923,0.09239344,14.81043579,0.14375583,14.66667996,10.80666019,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0512/,CEND_05_12.csv,DOY,84.97305556,0.00266203,84.97571759,0.00215278,84.97787037,95.55559028,0.00212963,95.55346065,,,90.26326492,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0512/,CEND_05_12.csv,P_equilib,1000.7,0.199,1000.899,0.042,1000.941,1031.352,0.014,1031.338,0.028,1031.31,1020.985,0
/cdiac/cdiac.ornl.gov/pub8/oceans/CEND/CEND0512/,CEND_05_12.csv,Date/Time,,,,,,,,,,,,0
